pair_id,task_zh,turns,body_positions,overlap_count32,overlap_rate32,top1_same
1,加热一个盘子，然后放进冰箱,49,9450,26.723809523809525,0.8351190476190476,0.8597883597883598
2,把一根蜡烛放到台面上,50,10774,26.79014293669946,0.8371919667718581,0.8713569704844997
3,借助台灯检查 CD,50,10747,25.443286498557736,0.7951027030799293,0.8373499581278496
4,找到两个钥匙串，放到扶手椅上,50,10955,26.852396166134184,0.8391373801916933,0.8707439525330899
5,把洗干净的碗放到餐桌上,49,10277,26.654957672472513,0.832967427264766,0.8649411306801595
6,把纸巾盒放到马桶上,27,5250,26.537333333333333,0.8292916666666666,0.8655238095238095
7,把洗手液瓶放到马桶上,33,6903,26.39475590323048,0.8248361219759525,0.8544111255975663
8,把信用卡放到架子上,4,424,27.54245283018868,0.8607016509433962,0.9174528301886793
9,把两条擦手巾放到台面上,50,12031,27.44767683484332,0.8577399010888538,0.8919458066661126
10,把 CD 放到保险箱里,50,10435,26.026832774317203,0.8133385241974126,0.8467656923814088
